RDBMS_Type,RDBMS_Version,Native_Type,LT_Name,Logical_Type_ID
DB2/UDB,8.1,LONG VARCHAR,"VARCHAR",LOGDT024,
DB2/UDB,8.1,LONG VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/UDB,8.1,NUMERIC,"NUMERIC",LOGDT019,
DB2/UDB,8.1,REAL,"REAL",LOGDT022,
DB2/UDB,8.1,SMALLINT,"SMALLINT",LOGDT018,
DB2/UDB,8.1,TIMESTAMP,"Timestamp",LOGDT015,
DB2/UDB,8.1,TIME,"Time",LOGDT014,
DB2/UDB,8.1,VARCHAR,"VARCHAR",LOGDT024,
DB2/UDB,8.1,VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/UDB,8.1,XML,"XMLType",LOGDT050,
DB2/UDB,7.1,BIGINT,"BIGINT",LOGDT027,
DB2/UDB,7.1,BLOB,"BLOB",LOGDT029,
DB2/UDB,7.1,CHAR,"CHAR",LOGDT025,
DB2/UDB,7.1,CLOB,"CLOB",LOGDT028,
DB2/UDB,7.1,DATALINK,"DATALINK",LOGDT030,
DB2/UDB,7.1,DATE,"Date",LOGDT007,
DB2/UDB,7.1,DBCLOB,"CLOB",LOGDT028,
DB2/UDB,7.1,DECIMAL,"DECIMAL",LOGDT026,
DB2/UDB,7.1,DOUBLE,"DOUBLE",LOGDT020,
DB2/UDB,7.1,GRAPHIC,"GRAPHIC",LOGDT031,
DB2/UDB,7.1,FLOAT,"FLOAT",LOGDT021,
DB2/UDB,7.1,INTEGER,"Integer",LOGDT011,
DB2/UDB,7.1,LONG VARCHAR,"VARCHAR",LOGDT024,
DB2/UDB,7.1,LONG VARGRAPHIC,"VARGRAPHIC",LOGDT023,
DB2/UDB,7.1,NUMERIC,"NUMERIC",LOGDT019,
DB2/UDB,7.1,REAL,"REAL",LOGDT022,
DB2/UDB,7.1,SMALLINT,"SMALLINT",LOGDT018,
DB2/UDB,7.1,TIMESTAMP,"Timestamp",LOGDT015,
DB2/UDB,7.1,TIME,"Time",LOGDT014,
DB2/UDB,7.1,VARCHAR,"VARCHAR",LOGDT024,
DB2/UDB,7.1,VARGRAPHIC,"VARGRAPHIC",LOGDT023,
